videoURL,thumbnailURL,talkTitle,
https://vimeo.com/groups/quantifiedself/videos/103711749,https://i.vimeocdn.com/video/486041499_295x166.jpg,Crt Ahlin: A Million Heartbeats,
https://vimeo.com/groups/quantifiedself/videos/103282807,https://i.vimeocdn.com/video/485691306_295x166.jpg,Juliana Chua: Connecting my Mind and Body,
https://vimeo.com/groups/quantifiedself/videos/103301417,https://i.vimeocdn.com/video/485622473_295x166.jpg,Natalie Melchiorre: My Pushup Plateau,
https://vimeo.com/groups/quantifiedself/videos/103302103,https://i.vimeocdn.com/video/485622518_295x166.jpg,Aaron Denton: Trend Me,
https://vimeo.com/groups/quantifiedself/videos/103306862,https://i.vimeocdn.com/video/485506703_295x166.jpg,Jay A. Lewis: 2-Factor Fitness Experiment,
https://vimeo.com/groups/quantifiedself/videos/102172117,https://i.vimeocdn.com/video/484826160_295x166.jpg,Lane Desborough: Nightscout,
https://vimeo.com/groups/quantifiedself/videos/101714346,https://i.vimeocdn.com/video/484828582_295x166.jpg,Paul LaFontaine: We Never Fight on Wednesday,
https://vimeo.com/groups/quantifiedself/videos/101714345,https://i.vimeocdn.com/video/484828330_295x166.jpg,Sara Riggare: How Not to Fall,
https://vimeo.com/groups/quantifiedself/videos/101739500,https://i.vimeocdn.com/video/484827994_295x166.jpg,Amaan Penang on Quantified Spending: a Blueprint to Make Data-Driven Financial Decisions,
https://vimeo.com/groups/quantifiedself/videos/102199473,https://i.vimeocdn.com/video/484827785_295x166.jpg,Kevin Krejci: Parkinson's Tracking Update,
https://vimeo.com/groups/quantifiedself/videos/101755547,https://i.vimeocdn.com/video/483624241_295x166.jpg,Jon Cousins â€œDaily Well being Tracking as a Coupleâ€ù,
https://vimeo.com/groups/quantifiedself/videos/102150945,https://i.vimeocdn.com/video/486959794_295x166.jpg,Lee Rogers: Why Annual Reporting,
https://vimeo.com/groups/quantifiedself/videos/102150944,https://i.vimeocdn.com/video/484826671_295x166.jpg,Paul LaFontaine: Every Other Minute,
https://vimeo.com/groups/quantifiedself/videos/102604323,https://i.vimeocdn.com/video/484648319_295x166.jpg,Data Aggregation and Exploration with Fluxtream/BodyTrack,
https://vimeo.com/groups/quantifiedself/videos/101714344,https://i.vimeocdn.com/video/483811739_295x166.jpg,Steven Jonas: Memorizing My Dayboook,
https://vimeo.com/groups/quantifiedself/videos/101739501,https://i.vimeocdn.com/video/483599776_295x166.jpg,Dana Greenfield: Leaning into Grief,
https://vimeo.com/groups/quantifiedself/videos/98537752,https://i.vimeocdn.com/video/480226977_295x166.jpg,Alex Tarling: Meta-Effects of Happiness Tracking,
https://vimeo.com/groups/quantifiedself/videos/98792887,https://i.vimeocdn.com/video/482697145_295x166.jpg,Josh Berson: Quantified Self and Social Precarity,
https://vimeo.com/groups/quantifiedself/videos/98792888,https://i.vimeocdn.com/video/482696951_295x166.jpg,Maja Brisvall: The Quantified Planet,
https://vimeo.com/groups/quantifiedself/videos/98792886,https://i.vimeocdn.com/video/479651296_295x166.jpg,Andre Boorsma: The Nutritional Researchers Cohort,
https://vimeo.com/groups/quantifiedself/videos/99536156,https://i.vimeocdn.com/video/482695707_295x166.jpg,Steve Dean: Tracking over Time,
https://vimeo.com/groups/quantifiedself/videos/99536160,https://i.vimeocdn.com/video/480739886_295x166.jpg,Danielle Roberts: A Reversed Calendar,
https://vimeo.com/groups/quantifiedself/videos/97650725,https://i.vimeocdn.com/video/482694945_295x166.jpg,"Maria Benet: Fit 50s, Sound 60s",
https://vimeo.com/groups/quantifiedself/videos/98537753,https://i.vimeocdn.com/video/482694315_295x166.jpg,Denise Lorenz: Does Diet Affect My Sleep?,
https://vimeo.com/groups/quantifiedself/videos/100583400,https://i.vimeocdn.com/video/482693731_295x166.jpg,"Jenny Tillotson: Science, Smell, Fashion",
https://vimeo.com/groups/quantifiedself/videos/100583401,https://i.vimeocdn.com/video/482693226_295x166.jpg,"Stefan Hoevenaar: My Father, a Quantified Diabetic",
https://vimeo.com/groups/quantifiedself/videos/100650674,https://i.vimeocdn.com/video/482693072_295x166.jpg,Henk Hindriks: Wearable Technologies for Active Living,
https://vimeo.com/groups/quantifiedself/videos/100650675,https://i.vimeocdn.com/video/482692048_295x166.jpg,Joost Plattel: Activity Tracking for Teams,
https://vimeo.com/groups/quantifiedself/videos/100986322,https://i.vimeocdn.com/video/482690854_295x166.jpg,Josh Berson: Cartographies of Vigilance,
https://vimeo.com/groups/quantifiedself/videos/100796794,https://i.vimeocdn.com/video/482690635_295x166.jpg,Timo Aittokoski: Quantifying Our Sleep,
https://vimeo.com/groups/quantifiedself/videos/100583399,https://i.vimeocdn.com/video/482292393_295x166.jpg,Debbie Chaves: A Librarian in Numbers,
https://vimeo.com/groups/quantifiedself/videos/100252684,https://i.vimeocdn.com/video/481904468_295x166.jpg,Justin Timmer: A Lazy Workout,
https://vimeo.com/groups/quantifiedself/videos/100057325,https://i.vimeocdn.com/video/481423285_295x166.jpg,Brain Optimization,
https://vimeo.com/groups/quantifiedself/videos/99520681,https://i.vimeocdn.com/video/480722081_295x166.jpg,Breaking Free of the Tyranny of the Norm,
https://vimeo.com/groups/quantifiedself/videos/99536159,https://i.vimeocdn.com/video/480739879_295x166.jpg,Alberto Frigo: 2004-2040,
https://vimeo.com/groups/quantifiedself/videos/99571921,https://i.vimeocdn.com/video/480798291_295x166.jpg,Location History,
https://vimeo.com/groups/quantifiedself/videos/99520680,https://i.vimeocdn.com/video/480739906_295x166.jpg,Sliders,
https://vimeo.com/groups/quantifiedself/videos/99484388,https://i.vimeocdn.com/video/480674769_295x166.jpg,Don't Just Stand There,
https://vimeo.com/groups/quantifiedself/videos/98385763,https://i.vimeocdn.com/video/479832110_295x166.jpg,Morris Villarroel: A Four-Year Journal,
https://vimeo.com/groups/quantifiedself/videos/98385762,https://i.vimeocdn.com/video/479321710_295x166.jpg,Brian Crain on Optimizing Productivity,
https://vimeo.com/groups/quantifiedself/videos/98336392,https://i.vimeocdn.com/video/479015693_295x166.jpg,Steve Dean: Washing My Eyelids,
https://vimeo.com/groups/quantifiedself/videos/97650724,https://i.vimeocdn.com/video/478214409_295x166.jpg,Maximilian Gotzler: A Testosterone and Diet Experiment,
https://vimeo.com/groups/quantifiedself/videos/97117880,https://i.vimeocdn.com/video/477409745_295x166.jpg,Evelina Georgieva - Euro Conference 2014,
https://vimeo.com/groups/quantifiedself/videos/97117881,https://i.vimeocdn.com/video/477409549_295x166.jpg,Laurie Frick: Experiments in Self-Tracking,
https://vimeo.com/groups/quantifiedself/videos/97117883,https://i.vimeocdn.com/video/493083159_295x166.jpg,Ralph Pethica: Improving My Fitness With Genetics,
https://vimeo.com/groups/quantifiedself/videos/97117884,https://i.vimeocdn.com/video/477408827_295x166.jpg,Anne Wright: Data Exploration With Fluxtream/BodyTrack,
https://vimeo.com/groups/quantifiedself/videos/97117886,https://i.vimeocdn.com/video/477408455_295x166.jpg,Kiel Gilleade: Rhythmanalysis,
https://vimeo.com/groups/quantifiedself/videos/97118630,https://i.vimeocdn.com/video/477407960_295x166.jpg,Kirill Gertman: Quantifying Motivation with a Smart Shirt,
https://vimeo.com/groups/quantifiedself/videos/96777625,https://i.vimeocdn.com/video/476945003_295x166.jpg,Kay Stoner - Tracking Headaches - Boston QS,
https://vimeo.com/groups/quantifiedself/videos/96775694,https://i.vimeocdn.com/video/476944881_295x166.jpg,Natty Hoffman - The Enlightened Consumer - Boston QS,
https://vimeo.com/groups/quantifiedself/videos/96775693,https://i.vimeocdn.com/video/476932245_295x166.jpg,Robert DeSaulniers - Tracking a Memetic Diet - Boston QS,
https://vimeo.com/groups/quantifiedself/videos/66516294,https://i.vimeocdn.com/video/437969098_295x166.jpg,Salt & Carb,
https://vimeo.com/groups/quantifiedself/videos/96616929,https://i.vimeocdn.com/video/476742926_295x166.jpg,Arne Tensfeldt: Activity Tracking and Weight Loss - Apps and Gadgets in Practice,
https://vimeo.com/groups/quantifiedself/videos/96616927,https://i.vimeocdn.com/video/476742772_295x166.jpg,Fabio Ricardo dos Santos: How Relationship Data Guides Me Through a Chaotic Life,
https://vimeo.com/groups/quantifiedself/videos/96616926,https://i.vimeocdn.com/video/476742617_295x166.jpg,Mark Leavitt: Hacking Habits,
https://vimeo.com/groups/quantifiedself/videos/96616930,https://i.vimeocdn.com/video/476742349_295x166.jpg,"Florian Schumacher: Tracking Activity, Posture and Time for Increased Health and Productivity",
https://vimeo.com/groups/quantifiedself/videos/96617380,https://i.vimeocdn.com/video/476741335_295x166.jpg,Rain Ashford: Visualizing Physiological Data,
https://vimeo.com/groups/quantifiedself/videos/96617381,https://i.vimeocdn.com/video/476741214_295x166.jpg,Stan James: A Year Well Sliced- Lessons From My Laptop,
https://vimeo.com/groups/quantifiedself/videos/96617382,https://i.vimeocdn.com/video/476741049_295x166.jpg,Matteo Lai: Automatic Stress Tracking for Teams,
https://vimeo.com/groups/quantifiedself/videos/96617793,https://i.vimeocdn.com/video/490822588_295x166.jpg,Christel De Maeyer: My Journey with Sleep Monitoring,
https://vimeo.com/groups/quantifiedself/videos/96617794,https://i.vimeocdn.com/video/476712416_295x166.jpg,Carlos Rizo: How I Hacked My Meditation Practice with My Mobile Phone,
https://vimeo.com/groups/quantifiedself/videos/96617795,https://i.vimeocdn.com/video/476740644_295x166.jpg,Eleanor Watson: 3D Body Measurement on a Smartphone,
https://vimeo.com/groups/quantifiedself/videos/96617796,https://i.vimeocdn.com/video/476740289_295x166.jpg,Marco Altini: The Future of Wearable Sensors - From Quantifying Behavior to Quantifying Health,
https://vimeo.com/groups/quantifiedself/videos/96617936,https://i.vimeocdn.com/video/476740140_295x166.jpg,Eric Jain: Tracking with Zenobase,
https://vimeo.com/groups/quantifiedself/videos/96617937,https://i.vimeocdn.com/video/476739968_295x166.jpg,Papadopoulos Homer: Unobtrusive Smart Environments for Monitoring in Everyday Life - USEFIL,
https://vimeo.com/groups/quantifiedself/videos/96617938,https://i.vimeocdn.com/video/476739823_295x166.jpg,Jan-Geert Munneke: How I Got Started With Sleep Tracking,
https://vimeo.com/groups/quantifiedself/videos/96617939,https://i.vimeocdn.com/video/476739272_295x166.jpg,Eric Boyd: Daily Rhythm Tracking w/ Nike+ Fuelband,
